address,symbol,ath_source,stored_ath_mcap,fee_peak_mcap,undershoot,n_ticks,alert_time
HdnLJtbdcqRx2bnqFmBLLo5ELsETtFpgzfymQ1zMpump,ROCK,birdeye_running_max,67190.00,3867.63,-16.3724,8,1777780557.2494135
4R1Vcbp15UiXJxdmwtgSjp7wFVgqb5keXejW8qA3pump,DickButt,birdeye_running_max,246800.00,102537.20,-1.4069,345,1777784577.3274846
BAtrhVFgYdpsqBJeb3qTaeocc7sDkFz2VnqQGCDepump,DOUG,birdeye,55542.84,5383.42,-9.3174,9,1777786949.516381
DzG9PumAiq5uHVzEKxYUGX2beC2pJTESGPFG9wN9pump,Trumpcoin,birdeye_reseeded,72255.94,3282.15,-21.0148,4,1777794935.398251
EzNzW9MuECrTeTt3JzEuWHDoLGU8ASyvmkzPuBkXpump,PALESTINE,birdeye_reseeded,107200.69,7449.87,-13.3896,29,1777796630.524581
4mxWL7MkSQPLXV7DAmvXBS7HLUbB4WXZdmxibStfpump,Mike,birdeye_running_max,62510.00,18517.94,-2.3756,61,1777796746.3497198
DyhgWtTeAE2UYEfLwpAZ4441eaCWFedRMoxUYM9ypump,ML,unseeded,83610.00,30913.10,-1.7047,12,1777798694.2997038
Hx2CNHde124aDvhyviusCAkp9nnEYEwfefghHRqgpump,Gigadowns,birdeye_running_max,84690.00,5434.66,-14.5833,13,1777807729.979417
8x1LnnZQxtpg1G8s6rMuo2DygpZkGbyitQ7qHdJbpump,VIALPUMP,birdeye_running_max,72570.00,13323.24,-4.4469,38,1777807836.5289118
CFBsM7zHoSrf1dsyXMhrhgwbVm9E78LfAwhXP5djpump,WormTower,birdeye_running_max,73370.00,3825.43,-18.1795,7,1777808897.5133934
BcahLr88n3wkAQvmbrthJJwcDVqSzYiFRhiJWhffpump,WormTower,birdeye_reseeded,54634.83,4471.82,-11.2176,13,1777809335.4096704
EM3rEkopkcNhSZY3pXkWBYFv8QR5Cw7vYKqzMvDypump,MAKAM,birdeye_reseeded,93124.12,2961.61,-30.4438,4,1777809407.097611
uQWaWHj2hnnwPfZk9NuJoQtAXH4VvXkRm1BpoHWpump,CANNONS,birdeye_reseeded,86706.68,1571.14,-54.1870,2,1777812561.389399
3wL2KuTsaDUX33VvpwCn7st7yxGhY6KKqPkZtMQzpump,TEMPO,birdeye_running_max,599700.00,279711.05,-1.1440,467,1777812880.7676759
2E5hMmz81QY3fAuEzQC4GGKiikZukoY8Wh5UVSvnpump,Ivana,birdeye_corrected,63910.47,4282.13,-13.9249,31,1777813701.1691334
9cLS5rgg49b21u8xmPVPbnXFUgRyqA12DgQDhqcPpump,Squirrels,birdeye_reseeded,61517.79,18190.73,-2.3818,37,1777814459.3257508
7sg7o1c1pqkapMGn3o2gdzR4tBLWgqrBaFvRXn4Upump,Friendster,birdeye_running_max,76930.00,8406.97,-8.1507,42,1777819008.932322
7hewjsfDBZkbqpAcFftJ8GghNApZvAeXNjCFGHt5pump,nyzKo,birdeye_reseeded,51953.80,8124.07,-5.3950,5,1777819420.407075
edEV2sdotk5dXQYc9XBDFUSxJ1zmcE5ScKmDvgFpump,Sonion,birdeye_corrected,48212.11,2008.50,-23.0040,1,1777820365.5949397
DZWAK6JCYYEt3FDpdYKPnBqZaVr19CTSnx14UbsJpump,FUD,birdeye_running_max,71900.00,30331.73,-1.3705,151,1777820598.1848722
6xwWj7D9Vfc8Knjfxa8Dh5smgWXN19DM2TEfAJBUpump,eCash,birdeye,47771.25,3595.24,-12.2874,10,1777821192.030843
4dPsXmDnZz9YbSC92iV8PUrf8FRHqBGqUYwJqqehpump,SOL,birdeye_reseeded,67851.16,6381.45,-9.6326,2,1777823089.6541085
2s3jHpKU5WfTJhfGimwSCPUYkXRfEdMkJxe13A8qpump,$golf,birdeye_reseeded,72491.13,4063.69,-16.8387,20,1777823972.6966743
5fSTh9qqQe5Uv3qD3Qj2BKCiVNHheLrex9vkAQGnpump,Fatcoin,birdeye_running_max,84530.00,5046.37,-15.7507,13,1777825310.421981
72CxU8WEjtzZvQsVnv2Zqhn2HaYEiPW7z6L16jPvpump,Tortellini,birdeye_reseeded,55810.99,1906.25,-28.2779,1,1777825560.4271476
BeTkvw4KtPdMxqVBoPcMXvfsqhZFFWyMPSqqmUFrpump,conviction,birdeye_corrected,120164.02,5660.01,-20.2303,560,1777826724.0989766
3eZaroBbFBXFakQoMgfDytE9aop2CVJGgcHDsUpmpump,9,birdeye_running_max,55810.00,5922.50,-8.4234,14,1777826901.9227855
9mKakEnqf7G7vcKqkSdVKden4gtRWMJJg3yHoNMKpump,EPIC,birdeye_reseeded,77454.85,4241.96,-17.2592,19,1777827367.3478873
5AzpW3d8nLJZNgyZZLyh8Tt7NeNX62qUfua91Uapump,pep,birdeye_reseeded,132998.58,68948.20,-0.9290,368,1777828013.3743389
qMPetjaaH8q3BMG6uGRJHTpXsaTcdtxNMDvGvahpump,CLAV,birdeye_running_max,110900.00,71781.53,-0.5450,223,1777829639.2543643
CN9itYACMJ9Fn4iUNS1QiEmNhrnzqQrgg7oNCKVJpump,S,birdeye_running_max,205500.00,6348.37,-31.3705,29,1777830619.2270896
Ax1VSZ5WRLwHEQUpxT4K2PUUH8ihZJUtcwtvZ47Dpump,SPIRIT,birdeye_reseeded,101113.95,6473.89,-14.6187,29,1777831812.5906212
